lat,lon,count
43.194,-103.76,8
43.194,-96.796,35
43.195,-103.833,8
43.195,-103.778,6
43.195,-103.774,9
43.195,-103.771,7
43.195,-103.77,9
43.195,-103.768,6
43.195,-103.766,6
43.195,-103.763,8
43.195,-103.761,8
43.195,-103.76,15
43.195,-102.44,8
43.195,-96.795,7
43.196,-103.833,8
43.196,-96.795,8
43.197,-103.833,7
43.197,-99.883,7
43.198,-103.833,8
43.198,-101.637,6
43.198,-99.33,8
43.198,-97.419,6
43.198,-96.795,8
43.199,-102.768,6
43.199,-101.9,430
43.199,-101.099,8
43.2,-103.2,16
43.2,-101.9,1293
43.2,-101.099,8
43.2,-96.84,10
43.2,-96.795,9
43.201,-103.833,8
43.201,-101.391,10
43.201,-99.366,7
43.201,-96.795,12
43.202,-103.833,6
43.202,-101.392,6
43.202,-97.211,9
43.203,-103.833,7
43.204,-103.833,7
43.204,-96.794,12
43.205,-103.833,6
43.205,-101.388,13
43.206,-103.833,7
43.206,-101.394,17
43.207,-103.833,6
43.207,-101.393,9
43.207,-97.081,6
43.208,-103.833,6
43.208,-96.795,13
43.209,-103.832,6
43.209,-96.795,10
43.21,-99.364,26
43.21,-99.363,8
43.211,-103.831,6
43.212,-103.83,8
43.212,-98.22,7
43.212,-98.219,60
43.213,-96.795,16
43.214,-103.829,8
43.214,-103.254,8
43.214,-101.356,12
43.214,-96.796,7
43.215,-103.829,6
43.215,-101.428,7
43.215,-101.389,6
43.215,-97.97,56
43.216,-103.829,7
43.216,-101.502,46
43.216,-96.573,18
43.216,-96.529,25
43.217,-103.829,7
43.217,-101.524,17
43.217,-101.517,37
43.217,-97.096,30
43.217,-97.095,10
43.218,-103.829,8
43.218,-97.096,29
43.218,-97.095,29
43.219,-103.829,8
43.219,-97.549,8
43.219,-97.095,9
43.219,-97.094,7
43.22,-103.829,9
43.22,-96.795,7
43.221,-103.829,8
43.221,-99.418,10
43.221,-97.966,22
43.222,-103.829,8
43.222,-99.419,8
43.222,-96.795,7
43.223,-99.694,49
43.224,-103.828,6
43.224,-99.424,7
43.225,-103.827,6
43.225,-99.43,19
43.225,-99.428,7
43.225,-99.425,26
43.225,-99.424,50
43.225,-99.423,6
43.226,-103.826,6
43.226,-99.434,34
43.226,-99.433,6
43.226,-99.432,12
43.226,-99.425,8
43.227,-99.435,13
43.227,-99.432,15
43.227,-99.431,11
43.227,-96.796,6
43.227,-96.795,10
43.228,-99.425,10
43.228,-96.795,8
43.229,-100.85,7
43.229,-97.968,15
43.23,-100.853,9
43.23,-100.63,136
43.23,-99.429,14
43.231,-100.854,12
43.231,-99.422,16
43.232,-100.853,47
43.233,-103.818,6
43.233,-99.434,25
43.234,-102.465,20
43.234,-99.427,12
43.235,-103.817,7
43.235,-97.985,10
43.235,-97.97,8
43.235,-96.796,15
43.236,-103.817,9
43.236,-97.575,11
43.237,-102.333,436
43.237,-100.863,14
43.237,-99.432,6
43.237,-97.581,10
43.237,-97.562,55
43.237,-96.795,6
43.238,-103.818,7
43.238,-100.857,18
43.239,-103.819,6
43.239,-98.153,22
43.239,-98.105,22
43.239,-98.057,16
43.24,-103.82,9
43.24,-102.62,19
43.24,-100.856,175
43.24,-99.428,32
43.24,-98.01,18
43.24,-97.979,20
43.24,-97.577,11
43.241,-103.82,9
43.241,-98.296,6
43.241,-98.292,19
43.241,-97.9,17
43.241,-97.859,16
43.241,-97.855,19
43.241,-97.815,14
43.241,-97.768,20
43.241,-97.579,24
43.241,-96.796,6
43.242,-103.82,8
43.242,-102.471,6
43.242,-102.33,40
43.243,-103.82,9
43.243,-102.474,7
43.243,-100.856,26
43.243,-100.84,7
43.244,-103.82,9
43.244,-102.474,7
43.244,-96.796,6
43.245,-103.82,9
43.245,-100.856,15
43.245,-100.847,10
43.245,-100.841,14
43.245,-100.84,22
43.245,-98.524,8
43.246,-103.82,8
43.246,-96.796,6
43.247,-103.82,9
43.248,-103.82,8
43.248,-100.843,8
43.248,-99.435,6
43.249,-103.82,11
43.249,-96.796,7
43.25,-103.82,8
43.25,-98.682,15
43.251,-103.82,10
43.251,-102.336,8
43.251,-100.842,18
43.251,-100.841,6
43.251,-98.699,13
43.251,-98.695,8
43.252,-103.82,9
43.252,-98.699,393
43.252,-98.694,20
43.252,-96.796,7
43.253,-100.869,9
43.254,-103.819,10
43.255,-103.819,10
43.255,-96.796,27
43.256,-103.818,8
43.256,-100.852,9
43.256,-100.85,7
43.257,-103.818,9
43.257,-100.85,47
43.257,-97.992,10
43.257,-96.849,6
43.257,-96.796,6
43.258,-100.85,76
43.258,-96.796,7
43.259,-103.817,7
43.259,-100.819,31
43.259,-98.692,6
43.26,-103.817,9
43.26,-100.82,12
43.26,-99.711,9
43.261,-96.796,8
43.262,-103.817,6
43.262,-100.826,8
43.263,-103.818,7
43.264,-103.819,6
43.264,-96.798,7
43.265,-103.82,11
43.266,-103.82,6
43.266,-96.797,11
43.266,-96.796,6
43.267,-103.821,9
43.268,-103.822,7
43.268,-103.166,6
43.268,-98.977,12
43.269,-103.822,9
43.269,-96.796,8
43.27,-103.823,12
43.27,-99.59,77
43.27,-98.7,103
43.27,-97.717,16
43.27,-96.796,7
43.27,-96.64,244
43.271,-103.823,6
43.272,-103.824,11
43.273,-103.824,9
43.273,-100.93,16
43.274,-103.825,8
